7688	5000
1018	1963
2218	9052
7709	4539
2311	8136
5268	5499
1338	8166
4771	9381
5185	6577
1060	1243
7261	1360
4213	384
1565	5625
7869	4962
9736	8002
2645	3170
2661	9547
1411	3542
2603	8391
2245	383
116	3452
213	4154
6743	9889
5979	5721
304	2052
2412	984
6303	7245
3341	4036
8798	6850
7660	8088
8534	7556
5457	7485
225	6779
731	7174
1474	558
3801	4037
397	2440
9693	8170
9276	549
5597	7188
5338	3191
6208	3284
3192	8986
3423	2982
1767	3664
3931	9660
2866	1995
1571	8124
416	1906
481	140
5258	960
9444	8760
1663	7300
9118	4979
9568	9291
5205	8930
8506	2729
8087	7894
623	2503
7320	4320
5886	1455
1598	1543
2264	6675
2452	2202
3661	1131
9478	1752
4543	70
791	2767
5696	2182
6220	9867
3594	430
37	3332
4638	6577
5431	7701
6023	6221
5000	4032
7597	5997
9395	2474
3511	6431
3592	5301
76	8302
2769	5414
797	69
2732	1140
6598	8943
9536	1168
5548	8988
1361	9464
1344	1642
4022	9509
3865	5727
2289	6755
188	1726
4456	736
3675	7614
48	2808
4795	7393
9809	9897
9196	2388
4928	4176
5934	220
7174	9908
3596	8579
2456	4002
2108	211
6636	7312
1393	3982
959	1726
5537	5709
8027	7983
918	1025
9536	405
8845	3988
3132	2070
7181	2027
9665	6967
7509	4383
452	5679
6163	5194
65	4833
1659	3874
308	6663
3972	8135
9268	3228
2664	8417
6281	2298
2578	6187
6230	145
3610	1651
7265	869
8858	2973
5234	6915
6396	666
1738	4607
4402	3106
973	4619
8284	210
5378	1447
9445	9232
1321	8085
6580	9820
6083	6694
8262	4069
9954	6924
3346	5625
6562	4230
3508	9678
7855	4951
5564	3523
7488	8924
7919	2726
9973	8345
6668	7767
2899	724
769	6825
6981	3376
415	6980
96	5309
820	9239
4417	4260
7497	3558
8107	3896
3989	269
7052	2348
5721	2225
931	5715
7814	4406
644	1320
8775	3299
7574	9599
9738	3838
9240	8404
7892	5869
997	4156
7366	931
1483	7168
9030	3526
738	8695
5914	6005
5971	164
2184	1400
7554	1473
643	6771
3010	9592
8493	3776
9797	8585
8910	5400
7663	6304
7807	8752
7600	2252
9291	7447
9965	5705
4618	7926
4347	7223
5965	4858
734	4310
414	9904
2429	4404
4794	5939
2130	1852
9631	1472
8956	7498
1677	9456
7895	8088
5273	7158
6034	2073
89	7399
2523	1226
4470	3834
764	9167
2854	7386
5923	5095
7350	1943
2399	8913
6186	3676
1173	4038
8558	469
7702	7405
5464	1076
5178	5108
3054	2852
4941	5855
1944	7211
5030	989
5301	4551
6562	1798
732	9376
6723	7956
3072	6583
5905	1743
8123	4113
6557	3124
7179	1743
8312	9547
9652	6219
4837	1030
1503	3912
2076	489
4888	7332
9086	5641
3293	680
7814	2066
8303	9988
4804	3141
6731	7298
5740	6393
6126	3333
1435	5141
5853	7388
6719	4975
5628	3015
6928	1881
6535	6391
4894	4887
1105	4658
6837	897
7769	3844
249	8756
4191	72
710	8680
581	4560
1938	573
331	8743
3826	9041
8252	6501
2358	6401
1739	358
8192	3861
7205	7440
3979	6903
5599	6241
7392	8859
2548	7500
1980	6922
3293	410
1287	566
5706	2502
7932	9463
335	624
1931	1121
7789	919
912	5769
2990	5318
5067	9148
7661	5882
1451	7364
2492	4566
3246	8197
1385	9007
920	2267
7050	7604
1950	6757
753	9210
8924	3398
9701	2635
9170	1680
1214	9409
1339	1875
5461	7572
8928	8546
7077	9651
4453	7991
8420	7644
6998	1962
3522	1772
7518	1802
3234	847
4529	2006
2570	3234
5399	5458
4596	6876
5974	3850
411	3199
4246	1588
8285	9440
2352	2649
4251	7509
9013	7383
3515	7371
1211	6669
1502	611
7636	391
2631	5407
529	2258
4048	4552
4828	5604
4173	9562
9002	8481
1200	4664
4207	1250
4883	9036
1948	9149
6954	6403
8419	6206
5751	4100
3951	7089
7663	8399
6088	7214
2382	2775
1477	5624
9475	9543
7017	5998
3845	4387
5035	8825
6880	6339
2027	8179
6935	6164
4518	8286
3637	8590
1185	7427
450	9614
8799	155
9382	157
8774	9676
3850	7256
343	1551
3372	9692
6099	872
7172	3423
1136	3985
6310	9764
1902	8785
425	2919
3808	5823
1601	8345
6721	8590
6095	7582
3898	7616
6467	4768
8054	3327
380	2269
5763	9466
2401	8131
6348	6360
9849	3793
752	1543
2849	5771
329	7080
3859	2661
4742	917
7547	3042
9504	2151
5886	7212
3221	9175
7343	5133
4808	5676
2816	9929
5422	2813
5705	8102
4884	1134
4039	6045
7601	3216
9142	6897
3567	7188
7475	5722
4262	8537
2338	493
5824	6472
3456	6958
4205	3741
9015	728
9122	7751
1185	1409
4795	8337
5006	4811
9680	9638
5885	581
3884	6520
7143	8926
6421	2395
5636	4054
8403	1143
6860	8669
8345	9261
2982	4661
8896	6792
1339	4176
3228	5005
8189	1207
8596	8768
1705	7605
4756	7680
8735	5173
7416	9184
4525	388
2253	461
5963	7436
9315	8780
8115	2829
9046	624
8687	4923
6773	7722
795	1607
7641	3453
8842	5682
2777	1857
564	5005
7758	6288
9338	187
1976	9220
4514	2999
5300	580
5591	2680
8956	6403
5383	3191
5749	9755
1512	3620
7661	5719
5250	8335
5844	6742
550	3440
5553	1284
3945	9960
3445	9099
